file,points,segments,shape_max_mm,shape_p95_segment_max_mm,nominal_mechanism_max_mm,endpoint_max_mm,common_progress_max_mm,planned_seconds,both_axes_stop,underruns
test/test_motion/patterns/Fractal1.thr,8040,8036,1.991859082,1.99185714,2.568415784,0.7248112941,0.09060324388,106575.8388,3593,0
test/test_motion/patterns/Fractal2.thr,8040,8036,1.991859082,1.99185714,3.515954497,1.781825479,0.09060326464,106617.969,3594,0
test/test_motion/patterns/HexagonAlley.thr,1226,1222,1.962830655,1.520858258,6.793714731,6.793714731,0.07907849507,9738.23031,485,0
test/test_motion/patterns/HexagonAlleyTight.thr,2447,2443,1.962830655,1.520858258,10.02097205,10.02097205,0.07907863715,19595.89308,945,0
test/test_motion/patterns/LinedCircles.thr,2584,2581,2.289441186,2.036090975,84.97768729,85.4099603,0.1073451997,18407.3643,517,0
test/test_motion/patterns/LinedCircles3.thr,3519,3515,1.690441001,1.314069768,28.78615577,28.7988812,0.09409467138,16705.13903,723,0
test/test_motion/patterns/LinedCircles4.thr,5678,5674,2.310875137,1.244713534,3.691523216,2.601626363,0.1098534978,20539.29938,1102,0
test/test_motion/patterns/SierpinskiPentagon2.thr,21909,21906,2.117455294,1.415061602,60.49544424,60.49544424,0.1033722966,98941.7547,8809,0
test/test_motion/patterns/SierpinskiTriangle.thr,2982,2978,1.713783157,1.487371729,4.303679776,3.604963181,0.09341841088,21381.25871,1212,0
test/test_motion/patterns/SierpinskiTriangle2.thr,1611,1608,2.053204765,1.458987797,2.595761727,0.9434067143,0.09544664839,7875.760105,791,0
test/test_motion/patterns/Spiral1.thr,7855,7851,1.483421941,1.209618247,188.5945818,188.5945818,0.1096386364,22036.82908,3191,0
test/test_motion/patterns/Spiral2.thr,4487,4484,1.934432773,1.631859112,96.54979902,96.54979902,0.1109546384,18912.98922,1105,0
test/test_motion/patterns/Spiral3.thr,6266,6263,2.024349174,1.670855306,134.1326561,134.1957876,0.1106535484,24399.28538,2225,0
test/test_motion/patterns/Spiral4.thr,12621,12617,1.824611188,1.508067028,301.7692952,301.7992919,0.1102323476,43934.92127,4156,0
test/test_motion/patterns/Spiral5.thr,7853,7849,1.487213142,1.20541344,37.11160915,37.42634357,0.1111211646,22043.68887,3209,0
test/test_motion/patterns/Spiral6.thr,7135,7132,2.0974888,1.646104925,161.277221,161.277221,0.1054872217,24287.21974,2868,0
test/test_motion/patterns/Spiral7.thr,1285,1281,1.698365196,1.633215242,4.630377073,4.00551672,0.08345347285,10383.3127,106,0
test/test_motion/patterns/Spiral8.thr,1925,1921,1.527068784,1.448526202,9.605878861,15.55529583,0.08757913104,17962.38455,426,0
test/test_motion/patterns/SquareErase.thr,20671,20667,2.055936046,1.739109805,457.6172259,457.6172259,0.1109700317,84248.51781,5524,0
test/test_motion/patterns/SquareErase2.thr,11901,11897,2.055090486,1.704797033,65.99630339,66.44445988,0.1110553122,44572.2497,3405,0
test/test_motion/patterns/Swirly1.thr,9061,9058,1.867989809,0.9120210698,6.602999783,6.591137668,0.1066269,19066.76126,1954,0
test/test_motion/patterns/TriangleSwoop.thr,1765,1762,1.986621913,1.561130443,4.041259968,2.790993624,0.1088376456,13152.40893,406,0
test/test_motion/patterns/david.thr,6500,6499,1.833443635,0.2591492893,703.4751487,704.1949243,0.09937199386,208761.8154,2719,0
test/test_motion/patterns/shell.thr,636,632,0.4737896049,0.3025073073,171.7227597,175.504591,0.0998511892,39083.43738,561,0
example_patterns/circle.thr,64,63,1.202296997e-05,1.202296996e-05,0.6833693039,0.6833693039,0.05491377421,56.031937,1,0
example_patterns/spiral.thr,51,50,0.7467647991,0.6864676135,0.7814205487,0.3490704454,0.03913261484,153.3316587,1,0
