file,points,segments,shape_max_mm,shape_p95_segment_max_mm,nominal_mechanism_max_mm,endpoint_max_mm,common_progress_max_mm,planned_seconds,both_axes_stop,underruns
test/test_motion/patterns/Fractal1.thr,8040,8036,2.588417914,2.588417274,3.1958382,0.7248112941,0.09060324388,54397.72029,3593,0
test/test_motion/patterns/Fractal2.thr,8040,8036,2.588417914,2.588417274,4.05880778,1.781825479,0.09060326464,54418.25981,3592,0
test/test_motion/patterns/HexagonAlley.thr,1226,1222,2.970705776,2.689063395,6.793714731,6.793714731,0.07907849507,5027.293828,572,0
test/test_motion/patterns/HexagonAlleyTight.thr,2447,2443,2.970705776,2.689063395,10.02097205,10.02097205,0.07907863715,10115.29442,1136,0
test/test_motion/patterns/LinedCircles.thr,2584,2581,3.392835228,3.133240109,84.97768729,85.4099603,0.1073451997,9370.480284,579,0
test/test_motion/patterns/LinedCircles3.thr,3519,3515,3.526406465,2.153570014,28.78615577,28.7988812,0.09409467138,8613.904876,902,0
test/test_motion/patterns/LinedCircles4.thr,5678,5674,3.347690084,1.788161559,4.528434153,2.601626363,0.1098534978,10631.88805,1207,0
test/test_motion/patterns/SierpinskiPentagon2.thr,21909,21906,3.386966873,2.226349931,60.49544424,60.49544424,0.1033722966,52448.24756,10180,0
test/test_motion/patterns/SierpinskiTriangle.thr,2982,2978,2.765904834,2.182492485,4.814135057,3.604963181,0.09341841088,11065.42694,1254,0
test/test_motion/patterns/SierpinskiTriangle2.thr,1611,1608,3.144122216,2.070631745,3.516996163,0.9434067143,0.09544664839,4199.675199,855,0
test/test_motion/patterns/Spiral1.thr,7855,7851,2.65147614,2.173880208,188.5945818,188.5945818,0.1096386364,12115.38979,3800,0
test/test_motion/patterns/Spiral2.thr,4487,4484,3.265508739,2.765804867,96.54979902,96.54979902,0.1109546384,9843.434927,1241,0
test/test_motion/patterns/Spiral3.thr,6266,6263,3.362229238,2.804848319,134.1326561,134.1957876,0.1106535484,12866.57224,2400,0
test/test_motion/patterns/Spiral4.thr,12621,12617,3.138089458,2.578374765,301.7692952,301.7992919,0.1102323476,23379.56194,4914,0
test/test_motion/patterns/Spiral5.thr,7853,7849,2.667297579,2.174064469,37.11160915,37.42634357,0.1111211646,12113.62102,3793,0
test/test_motion/patterns/Spiral6.thr,7135,7132,3.376682638,2.751002259,161.277221,161.277221,0.1054872217,13100.48644,3368,0
test/test_motion/patterns/Spiral7.thr,1285,1281,2.449608355,2.423972513,5.006568024,4.00551672,0.08345347285,5218.163342,103,0
test/test_motion/patterns/Spiral8.thr,1925,1921,2.756137525,2.279114586,9.605878861,15.55529583,0.08757913104,9132.056654,520,0
test/test_motion/patterns/SquareErase.thr,20671,20667,3.389628018,2.882590501,457.6172259,457.6172259,0.1109700317,44028.19567,6625,0
test/test_motion/patterns/SquareErase2.thr,11901,11897,3.3881493,2.815693902,65.99630339,66.44445988,0.1110553122,23465.92258,4107,0
test/test_motion/patterns/Swirly1.thr,9061,9058,4.197147452,0.9793779448,6.591137668,6.591137668,0.1066269,10206.73392,2153,0
test/test_motion/patterns/TriangleSwoop.thr,1765,1762,3.2316279,2.357700091,4.512699011,2.790993624,0.1088376456,6716.01135,479,0
test/test_motion/patterns/david.thr,6500,6499,3.239032717,0.3735401213,703.4751487,704.1949243,0.09937199386,105190.9233,2930,0
test/test_motion/patterns/shell.thr,636,632,1.340700811,0.8287196542,171.7227597,175.504591,0.0998511892,19679.55613,562,0
example_patterns/circle.thr,64,63,1.212537782e-05,1.202296996e-05,0.6833693039,0.6833693039,0.05491377421,28.20990247,1,0
example_patterns/spiral.thr,51,50,1.523119095,1.220467727,1.488079326,0.3490704454,0.03913261484,76.97499812,1,0
